"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 02-Feb-2021","30 D % CHNG 
 03-Jan-2022"
NIFTY 50,"17,451.00","17,454.75","17,304.80","17,605.85","17,310.90",-294.95,-1.68,72019620,"66,115,133,120.22","18,604.45","14,151.40",16.54,-2.49
IOC,119.5,121.65,119.05,119.95,120.8,0.85,0.71,5660187,"683,693,987.73",141.5,86.75,23.98,1.14
DIVISLAB,"4,313.75","4,339.00","4,240.05","4,313.75","4,322.60",8.85,0.21,379964,"1,627,807,572.04","5,425.10","3,153.30",15.02,-4.49
BPCL,369.65,374.5,365,369.65,370.3,0.65,0.18,2099455,"780,052,505.25",503,357.4,-11.1,-5.5
HINDALCO,547.75,553.85,541,547.25,547.2,-0.05,-0.01,3596456,"1,974,778,025.04",553.85,274.7,95.87,12.52
MARUTI,"8,738.00","8,843.25","8,673.30","8,805.45","8,794.60",-10.85,-0.12,183176,"1,609,759,846.80","9,050.00","6,400.00",15.53,8.12
M&M,853,861.95,839.65,853.05,848.65,-4.4,-0.52,1817868,"1,549,114,394.88",979,724.65,-6.68,1.38
INDUSINDBK,955,977.5,954.55,972.35,966.6,-5.75,-0.59,1660372,"1,607,854,433.64","1,242.00",811,-4.93,5.93
ONGC,167.95,170.5,167.1,169.1,168,-1.1,-0.65,4069063,"688,282,006.45",174.9,95.6,69.1,5.06
NTPC,134.45,136.85,134.45,136.45,135.55,-0.9,-0.66,1336920,"181,794,381.60",152.1,94.8,36.65,3.14
AXISBANK,800.95,809.9,800,809.8,804.4,-5.4,-0.67,2484923,"2,003,792,208.74",866.9,626.65,10.21,8.95
TATASTEEL,"1,239.00","1,254.60","1,233.10","1,248.35","1,239.80",-8.55,-0.68,3055357,"3,806,149,875.61","1,534.50",655.95,80.85,10.45
ITC,232,232,230.35,232.25,230.65,-1.6,-0.69,3388126,"782,352,174.66",265.3,199.1,2.07,4.64
COALINDIA,167.95,169.3,166.45,168.05,166.6,-1.45,-0.86,4243547,"712,915,896.00",203.8,123.4,21.51,5.99
HEROMOTOCO,"2,670.00","2,721.70","2,655.00","2,734.10","2,708.35",-25.75,-0.94,498040,"1,342,735,761.60","3,629.05","2,310.00",-22.74,6.46
BHARTIARTL,721.7,725.4,715.3,724.05,716.35,-7.7,-1.06,1441983,"1,038,746,873.88",781.8,494.6,22.68,2.93
HINDUNILVR,"2,279.00","2,279.00","2,249.00","2,283.15","2,258.85",-24.3,-1.06,287845,"649,997,186.75","2,859.30","2,120.00",2.13,-5.01
BAJAJ-AUTO,"3,530.00","3,559.15","3,508.00","3,569.35","3,528.00",-41.35,-1.16,64354,"227,055,713.42","4,347.00","3,027.05",-14.02,3.86
SUNPHARMA,894.6,895.8,881,894.3,883.3,-11,-1.23,694825,"615,601,053.50",902.85,562.1,42.61,7.44
CIPLA,956.5,976.05,955.65,975.05,963.05,-12,-1.23,311130,"299,279,058.30","1,005.00",738.1,12.93,6.45
ADANIPORTS,727.9,731.9,720,731.05,721.7,-9.35,-1.28,1295168,"939,333,543.68",901,550.5,26.73,-4.45
RELIANCE,"2,373.25","2,376.90","2,344.10","2,381.05","2,350.05",-31,-1.3,2328666,"5,506,107,470.34","2,751.35","1,876.70",20.6,-3.03
ASIANPAINT,"3,229.95","3,229.95","3,182.50","3,238.75","3,195.25",-43.5,-1.34,181463,"581,126,184.35","3,590.00","2,260.00",29,-8.48
HDFCBANK,"1,500.25","1,514.95","1,499.50","1,525.10","1,503.05",-22.05,-1.45,1267161,"1,911,525,040.11","1,725.00","1,353.00",-3.58,-2.61
TATAMOTORS,503.25,507,499.25,507.45,499.9,-7.55,-1.49,4413632,"2,221,778,212.48",536.7,268.45,54.29,1.23
EICHERMOT,"2,625.00","2,625.40","2,582.35","2,640.35","2,600.90",-39.45,-1.49,151377,"393,725,521.92","2,998.90","2,303.70",-8.99,-5.51
DRREDDY,"4,311.00","4,349.55","4,280.15","4,370.70","4,304.00",-66.7,-1.53,88971,"382,782,602.43","5,614.60","4,135.00",-9.4,-6.39
ULTRACEMCO,"7,460.10","7,460.10","7,336.35","7,474.50","7,359.60",-114.9,-1.54,64871,"479,181,318.28","8,269.00","5,970.20",16.93,-1.73
JSWSTEEL,668.95,673.8,661.35,672.55,662,-10.55,-1.57,1111103,"742,461,246.66",776.5,390.95,63.74,4.16
HDFCLIFE,600.7,601.5,595,606.25,596.4,-9.85,-1.62,936501,"560,093,153.07",775.65,590.45,-15.69,-7.89
UPL,765.85,766.95,756,770.1,756.65,-13.45,-1.75,487226,"370,827,708.60",864.7,514.05,44.11,-6.03
HCLTECH,"1,179.00","1,179.00","1,164.05","1,190.35","1,169.10",-21.25,-1.79,965288,"1,128,614,729.60","1,377.75",891,24.07,-11.41
SBILIFE,"1,144.85","1,144.85","1,125.00","1,146.25","1,125.25",-21,-1.83,335001,"379,462,332.72","1,293.25",845.1,25.77,-7.07
TCS,"3,752.50","3,752.50","3,696.00","3,770.35","3,701.00",-69.35,-1.84,1092596,"4,055,148,202.08","4,043.00","2,880.00",17.34,-3.72
